Name,w_ace_clay,w_ace_grass,w_ace_hard,w_ace_carpet,w_df_clay,w_df_grass,w_df_hard,w_df_carpet,w_svpt_clay,w_svpt_grass,w_svpt_hard,w_svpt_carpet,w_1stIn_clay,w_1stIn_grass,w_1stIn_hard,w_1stIn_carpet,w_1stWon_clay,w_1stWon_grass,w_1stWon_hard,w_1stWon_carpet,w_2ndWon_clay,w_2ndWon_grass,w_2ndWon_hard,w_2ndWon_carpet,w_SvGms_clay,w_SvGms_grass,w_SvGms_hard,w_SvGms_carpet,w_bpSaved_clay,w_bpSaved_grass,w_bpSaved_hard,w_bpSaved_carpet,w_bpFaced_clay,w_bpFaced_grass,w_bpFaced_hard,w_bpFaced_carpet
Novak Djokovic,312.0,107.0,460.0,460.0,244.0,147.0,569.0,569.0,9237.0,4176.0,15676.0,15676.0,6113.0,2773.0,10227.0,10227.0,4458.0,2210.0,7795.0,7795.0,1734.0,759.0,3112.0,3112.0,1480.0,705.0,2583.0,2583.0,445.0,152.0,588.0,588.0,654.0,208.0,859.0,859.0
Rafael Nadal,330.0,35.0,451.0,451.0,269.0,32.0,336.0,336.0,10917.0,1427.0,12607.0,12607.0,7319.0,916.0,8317.0,8317.0,5264.0,718.0,6386.0,6386.0,2179.0,330.0,2557.0,2557.0,1804.0,249.0,2139.0,2139.0,537.0,47.0,450.0,450.0,760.0,64.0,647.0,647.0
Alexander Zverev,245.0,11.0,276.0,276.0,389.0,88.0,781.0,781.0,8221.0,2213.0,15433.0,15433.0,5366.0,1476.0,10091.0,10091.0,3974.0,1212.0,7939.0,7939.0,1546.0,402.0,2823.0,2823.0,1348.0,387.0,2535.0,2535.0,310.0,75.0,642.0,642.0,508.0,102.0,915.0,915.0
Roger Federer,52.0,107.0,280.0,280.0,27.0,64.0,278.0,278.0,1563.0,4781.0,11359.0,11359.0,986.0,3122.0,7073.0,7073.0,754.0,2551.0,5675.0,5675.0,356.0,1030.0,2535.0,2535.0,259.0,845.0,1943.0,1943.0,57.0,150.0,375.0,375.0,81.0,196.0,529.0,529.0
Daniil Medvedev,89.0,44.0,416.0,416.0,100.0,98.0,790.0,790.0,2496.0,2837.0,17821.0,17821.0,1360.0,1768.0,10680.0,10680.0,1010.0,1438.0,8455.0,8455.0,631.0,594.0,3904.0,3904.0,403.0,485.0,2947.0,2947.0,118.0,84.0,710.0,710.0,180.0,123.0,1030.0,1030.0
Dominic Thiem,471.0,15.0,293.0,293.0,412.0,63.0,433.0,433.0,12133.0,1170.0,13621.0,13621.0,7624.0,668.0,8398.0,8398.0,5742.0,539.0,6480.0,6480.0,2587.0,282.0,2892.0,2892.0,1998.0,191.0,2241.0,2241.0,517.0,47.0,542.0,542.0,765.0,60.0,805.0,805.0
Andy Murray,72.0,40.0,249.0,249.0,84.0,38.0,318.0,318.0,2609.0,2256.0,8630.0,8630.0,1551.0,1420.0,5054.0,5054.0,1168.0,1091.0,3870.0,3870.0,589.0,468.0,1981.0,1981.0,412.0,374.0,1394.0,1394.0,126.0,88.0,343.0,343.0,181.0,128.0,522.0,522.0
Andrey Rublev,136.0,34.0,389.0,389.0,135.0,32.0,560.0,560.0,5121.0,1414.0,14888.0,14888.0,3093.0,836.0,8805.0,8805.0,2282.0,621.0,6992.0,6992.0,1046.0,337.0,3228.0,3228.0,804.0,232.0,2411.0,2411.0,261.0,42.0,629.0,629.0,405.0,68.0,901.0,901.0
Ugo Humbert,25.0,10.0,201.0,201.0,24.0,75.0,310.0,310.0,712.0,1804.0,8473.0,8473.0,452.0,1183.0,5083.0,5083.0,323.0,902.0,4036.0,4036.0,135.0,331.0,1945.0,1945.0,116.0,277.0,1340.0,1340.0,25.0,88.0,362.0,362.0,48.0,118.0,480.0,480.0
James Duckworth,20.0,19.0,138.0,138.0,27.0,26.0,250.0,250.0,713.0,1164.0,8111.0,8111.0,383.0,708.0,4507.0,4507.0,307.0,548.0,3635.0,3635.0,172.0,273.0,2113.0,2113.0,107.0,192.0,1330.0,1330.0,49.0,63.0,314.0,314.0,62.0,76.0,425.0,425.0
Facundo Bagnis,581.0,0.0,15.0,15.0,724.0,0.0,19.0,19.0,15625.0,0.0,569.0,569.0,9302.0,0.0,369.0,369.0,6935.0,0.0,254.0,254.0,3475.0,0.0,111.0,111.0,2515.0,0.0,34.0,34.0,816.0,0.0,32.0,32.0,1196.0,0.0,44.0,44.0
Stefanos Tsitsipas,323.0,15.0,382.0,382.0,210.0,43.0,365.0,365.0,8449.0,990.0,14917.0,14917.0,5223.0,647.0,9259.0,9259.0,3958.0,503.0,7412.0,7412.0,1883.0,187.0,3295.0,3295.0,1395.0,167.0,2473.0,2473.0,329.0,31.0,502.0,502.0,487.0,50.0,696.0,696.0
Roberto Bautista Agut,149.0,81.0,442.0,442.0,102.0,36.0,338.0,338.0,4686.0,2045.0,12956.0,12956.0,3017.0,1369.0,8460.0,8460.0,2166.0,1024.0,6275.0,6275.0,942.0,389.0,2623.0,2623.0,757.0,333.0,2150.0,2150.0,224.0,91.0,565.0,565.0,336.0,125.0,844.0,844.0
Pedro Sousa,267.0,0.0,4.0,4.0,425.0,0.0,9.0,9.0,11788.0,0.0,215.0,215.0,8237.0,0.0,138.0,138.0,5506.0,0.0,100.0,100.0,1850.0,0.0,45.0,45.0,1816.0,0.0,32.0,32.0,684.0,0.0,11.0,11.0,1059.0,0.0,15.0,15.0
Matteo Berrettini,203.0,23.0,182.0,182.0,103.0,62.0,207.0,207.0,4973.0,2606.0,8811.0,8811.0,3166.0,1673.0,5419.0,5419.0,2535.0,1393.0,4340.0,4340.0,1041.0,552.0,1924.0,1924.0,840.0,450.0,1446.0,1446.0,196.0,86.0,347.0,347.0,251.0,105.0,460.0,460.0
Ricardas Berankis,34.0,26.0,376.0,376.0,73.0,22.0,328.0,328.0,1748.0,722.0,10720.0,10720.0,1089.0,471.0,6416.0,6416.0,782.0,332.0,4809.0,4809.0,362.0,145.0,2462.0,2462.0,272.0,115.0,1717.0,1717.0,96.0,45.0,468.0,468.0,143.0,61.0,683.0,683.0
Daniel Evans,25.0,107.0,375.0,375.0,19.0,82.0,360.0,360.0,1086.0,3227.0,10989.0,10989.0,715.0,2090.0,6754.0,6754.0,499.0,1555.0,5061.0,5061.0,217.0,650.0,2307.0,2307.0,161.0,505.0,1740.0,1740.0,63.0,175.0,530.0,530.0,83.0,236.0,774.0,774.0
Maximilian Marterer,204.0,8.0,100.0,100.0,142.0,8.0,113.0,113.0,5532.0,258.0,5693.0,5693.0,3387.0,160.0,3726.0,3726.0,2519.0,127.0,2883.0,2883.0,1222.0,57.0,1196.0,1196.0,902.0,41.0,942.0,942.0,277.0,14.0,203.0,203.0,388.0,17.0,279.0,279.0
Steve Johnson,60.0,22.0,161.0,161.0,108.0,104.0,295.0,295.0,2567.0,2887.0,8284.0,8284.0,1512.0,1832.0,4799.0,4799.0,1170.0,1436.0,3865.0,3865.0,587.0,583.0,2079.0,2079.0,408.0,468.0,1346.0,1346.0,106.0,110.0,292.0,292.0,150.0,151.0,372.0,372.0
Roberto Carballes Baena,395.0,8.0,38.0,38.0,499.0,10.0,58.0,58.0,13923.0,297.0,1727.0,1727.0,9036.0,190.0,1102.0,1102.0,6336.0,145.0,827.0,827.0,2736.0,63.0,355.0,355.0,2189.0,49.0,289.0,289.0,723.0,10.0,73.0,73.0,1092.0,15.0,114.0,114.0
Pablo Cuevas,265.0,0.0,101.0,101.0,320.0,21.0,119.0,119.0,9100.0,674.0,3114.0,3114.0,5620.0,392.0,1962.0,1962.0,4290.0,297.0,1552.0,1552.0,1961.0,153.0,652.0,652.0,1485.0,100.0,511.0,511.0,378.0,34.0,116.0,116.0,557.0,48.0,163.0,163.0
Jordan Thompson,93.0,70.0,406.0,406.0,62.0,53.0,260.0,260.0,2581.0,2532.0,10183.0,10183.0,1625.0,1611.0,6699.0,6699.0,1212.0,1251.0,4952.0,4952.0,537.0,494.0,1908.0,1908.0,420.0,409.0,1659.0,1659.0,90.0,118.0,478.0,478.0,151.0,165.0,689.0,689.0
Nikoloz Basilashvili,164.0,35.0,261.0,261.0,240.0,53.0,424.0,424.0,5070.0,1119.0,8205.0,8205.0,3035.0,670.0,4883.0,4883.0,2116.0,492.0,3576.0,3576.0,1103.0,258.0,1717.0,1717.0,775.0,173.0,1267.0,1267.0,256.0,60.0,379.0,379.0,405.0,81.0,597.0,597.0
Yuichi Sugita,14.0,115.0,290.0,290.0,10.0,55.0,210.0,210.0,504.0,2483.0,8801.0,8801.0,350.0,1683.0,5517.0,5517.0,248.0,1262.0,4000.0,4000.0,75.0,447.0,1816.0,1816.0,77.0,397.0,1390.0,1390.0,25.0,113.0,387.0,387.0,39.0,150.0,602.0,602.0
Yen Hsun Lu,0.0,44.0,171.0,171.0,0.0,42.0,143.0,143.0,0.0,1387.0,4155.0,4155.0,0.0,925.0,2548.0,2548.0,0.0,727.0,2021.0,2021.0,0.0,265.0,922.0,922.0,0.0,218.0,710.0,710.0,0.0,56.0,134.0,134.0,0.0,69.0,205.0,205.0
Pablo Andujar,122.0,1.0,31.0,31.0,233.0,8.0,51.0,51.0,6357.0,227.0,1323.0,1323.0,4159.0,145.0,848.0,848.0,2838.0,89.0,610.0,610.0,1196.0,41.0,252.0,252.0,986.0,31.0,213.0,213.0,375.0,10.0,55.0,55.0,567.0,19.0,88.0,88.0
Radu Albot,60.0,38.0,347.0,347.0,124.0,38.0,309.0,309.0,3518.0,1346.0,10323.0,10323.0,2332.0,876.0,6719.0,6719.0,1574.0,609.0,4720.0,4720.0,634.0,276.0,2023.0,2023.0,535.0,209.0,1594.0,1594.0,175.0,59.0,515.0,515.0,280.0,93.0,770.0,770.0
Fabio Fognini,185.0,30.0,242.0,242.0,290.0,53.0,488.0,488.0,6765.0,1156.0,9235.0,9235.0,4128.0,687.0,5441.0,5441.0,2924.0,503.0,3942.0,3942.0,1427.0,267.0,2019.0,2019.0,1070.0,190.0,1424.0,1424.0,343.0,32.0,454.0,454.0,530.0,60.0,717.0,717.0
John Isner,0.0,10.0,6.0,6.0,67.0,66.0,266.0,266.0,3257.0,2303.0,11559.0,11559.0,2283.0,1682.0,8117.0,8117.0,1884.0,1404.0,6701.0,6701.0,581.0,373.0,2054.0,2054.0,533.0,400.0,1977.0,1977.0,77.0,52.0,277.0,277.0,96.0,60.0,343.0,343.0
Gael Monfils,68.0,0.0,255.0,255.0,103.0,60.0,481.0,481.0,2584.0,1473.0,11011.0,11011.0,1828.0,965.0,7073.0,7073.0,1318.0,736.0,5444.0,5444.0,405.0,275.0,2111.0,2111.0,428.0,239.0,1813.0,1813.0,127.0,55.0,383.0,383.0,184.0,82.0,585.0,585.0
Gerald Melzer,306.0,0.0,34.0,34.0,213.0,0.0,33.0,33.0,6569.0,0.0,1156.0,1156.0,4203.0,0.0,726.0,726.0,3126.0,0.0,512.0,512.0,1381.0,0.0,252.0,252.0,1072.0,0.0,145.0,145.0,286.0,0.0,60.0,60.0,409.0,0.0,81.0,81.0
Pablo Carreno Busta,241.0,2.0,320.0,320.0,124.0,5.0,241.0,241.0,7447.0,323.0,9818.0,9818.0,4999.0,231.0,6476.0,6476.0,3542.0,191.0,4832.0,4832.0,1375.0,56.0,1900.0,1900.0,1191.0,57.0,1591.0,1591.0,365.0,17.0,453.0,453.0,550.0,18.0,645.0,645.0
Paolo Lorenzi,337.0,6.0,92.0,92.0,305.0,7.0,179.0,179.0,9770.0,290.0,4779.0,4779.0,5459.0,177.0,2808.0,2808.0,3947.0,136.0,2127.0,2127.0,2324.0,63.0,1026.0,1026.0,1501.0,44.0,717.0,717.0,511.0,14.0,216.0,216.0,797.0,18.0,320.0,320.0
Guido Andreozzi,299.0,5.0,32.0,32.0,368.0,5.0,76.0,76.0,9920.0,84.0,1233.0,1233.0,6250.0,57.0,705.0,705.0,4450.0,45.0,516.0,516.0,1949.0,17.0,255.0,255.0,1568.0,12.0,184.0,184.0,529.0,1.0,82.0,82.0,803.0,1.0,118.0,118.0
Yannick Hanfmann,287.0,19.0,126.0,126.0,232.0,16.0,124.0,124.0,7132.0,462.0,3041.0,3041.0,4442.0,292.0,1899.0,1899.0,3348.0,221.0,1443.0,1443.0,1522.0,85.0,661.0,661.0,1180.0,77.0,495.0,495.0,322.0,19.0,120.0,120.0,464.0,30.0,167.0,167.0
Andrej Martin,380.0,5.0,19.0,19.0,495.0,1.0,19.0,19.0,12477.0,63.0,545.0,545.0,7837.0,51.0,332.0,332.0,5454.0,35.0,239.0,239.0,2438.0,7.0,110.0,110.0,1925.0,9.0,87.0,87.0,749.0,4.0,23.0,23.0,1141.0,4.0,39.0,39.0
Filip Krajinovic,221.0,0.0,250.0,250.0,111.0,0.0,135.0,135.0,6639.0,0.0,7215.0,7215.0,4297.0,0.0,4629.0,4629.0,3043.0,0.0,3463.0,3463.0,1332.0,0.0,1361.0,1361.0,1073.0,0.0,1140.0,1140.0,351.0,0.0,359.0,359.0,523.0,0.0,514.0,514.0
Reilly Opelka,6.0,0.0,6.0,6.0,85.0,16.0,336.0,336.0,2378.0,522.0,8985.0,8985.0,1498.0,347.0,5727.0,5727.0,1188.0,268.0,4833.0,4833.0,501.0,106.0,1890.0,1890.0,388.0,83.0,1500.0,1500.0,80.0,20.0,222.0,222.0,108.0,23.0,293.0,293.0
Marco Cecchinato,448.0,5.0,22.0,22.0,319.0,6.0,38.0,38.0,14156.0,180.0,1130.0,1130.0,9629.0,114.0,765.0,765.0,6837.0,89.0,588.0,588.0,2535.0,36.0,207.0,207.0,2217.0,31.0,181.0,181.0,673.0,2.0,32.0,32.0,996.0,5.0,50.0,50.0
Jannik Sinner,108.0,5.0,172.0,172.0,73.0,5.0,158.0,158.0,2823.0,162.0,5281.0,5281.0,1687.0,98.0,3141.0,3141.0,1193.0,72.0,2356.0,2356.0,615.0,34.0,1194.0,1194.0,438.0,25.0,791.0,791.0,127.0,3.0,274.0,274.0,204.0,6.0,381.0,381.0
Alex De Minaur,28.0,79.0,333.0,333.0,57.0,103.0,367.0,367.0,1426.0,2799.0,11295.0,11295.0,795.0,1731.0,6778.0,6778.0,563.0,1278.0,5097.0,5097.0,365.0,646.0,2543.0,2543.0,220.0,445.0,1777.0,1777.0,84.0,122.0,460.0,460.0,117.0,167.0,685.0,685.0
Jaume Munar,289.0,0.0,85.0,85.0,268.0,0.0,85.0,85.0,9515.0,0.0,2606.0,2606.0,6305.0,0.0,1645.0,1645.0,4453.0,0.0,1230.0,1230.0,1666.0,0.0,539.0,539.0,1478.0,0.0,416.0,416.0,480.0,0.0,112.0,112.0,748.0,0.0,165.0,165.0
Casper Ruud,393.0,8.0,161.0,161.0,319.0,4.0,159.0,159.0,10403.0,116.0,4795.0,4795.0,6775.0,88.0,3106.0,3106.0,5029.0,73.0,2390.0,2390.0,2087.0,14.0,982.0,982.0,1700.0,21.0,770.0,770.0,424.0,3.0,173.0,173.0,613.0,4.0,247.0,247.0
Alexander Bublik,41.0,5.0,118.0,118.0,151.0,119.0,952.0,952.0,1794.0,1373.0,11858.0,11858.0,1003.0,779.0,7028.0,7028.0,775.0,617.0,5522.0,5522.0,352.0,299.0,2393.0,2393.0,277.0,218.0,1876.0,1876.0,103.0,56.0,529.0,529.0,163.0,86.0,774.0,774.0
Lucas Pouille,116.0,16.0,111.0,111.0,131.0,87.0,338.0,338.0,3766.0,2198.0,8474.0,8474.0,2123.0,1309.0,4829.0,4829.0,1577.0,1039.0,3753.0,3753.0,902.0,493.0,1982.0,1982.0,582.0,354.0,1332.0,1332.0,196.0,82.0,350.0,350.0,288.0,114.0,502.0,502.0
Hubert Hurkacz,137.0,10.0,276.0,276.0,187.0,29.0,399.0,399.0,3730.0,1297.0,10337.0,10337.0,2265.0,853.0,6587.0,6587.0,1737.0,674.0,5018.0,5018.0,767.0,256.0,1981.0,1981.0,600.0,219.0,1609.0,1609.0,161.0,34.0,520.0,520.0,242.0,46.0,704.0,704.0
Nick Kyrgios,6.0,12.0,28.0,28.0,27.0,116.0,404.0,404.0,1458.0,2263.0,9742.0,9742.0,984.0,1520.0,6344.0,6344.0,783.0,1174.0,5213.0,5213.0,298.0,397.0,1927.0,1927.0,242.0,377.0,1644.0,1644.0,39.0,77.0,299.0,299.0,50.0,120.0,389.0,389.0
Malek Jaziri,112.0,19.0,301.0,301.0,93.0,13.0,301.0,301.0,2957.0,275.0,8453.0,8453.0,1573.0,160.0,4540.0,4540.0,1142.0,122.0,3480.0,3480.0,758.0,65.0,2140.0,2140.0,451.0,43.0,1317.0,1317.0,171.0,15.0,408.0,408.0,240.0,19.0,600.0,600.0
Nicolas Jarry,260.0,0.0,63.0,63.0,313.0,16.0,91.0,91.0,8656.0,648.0,3070.0,3070.0,5546.0,402.0,1927.0,1927.0,4251.0,318.0,1534.0,1534.0,1790.0,146.0,673.0,673.0,1390.0,112.0,510.0,510.0,361.0,26.0,121.0,121.0,494.0,36.0,155.0,155.0
Adrian Mannarino,52.0,96.0,300.0,300.0,40.0,134.0,258.0,258.0,1823.0,4177.0,9047.0,9047.0,1147.0,2598.0,5384.0,5384.0,766.0,1907.0,4068.0,4068.0,362.0,894.0,2090.0,2090.0,275.0,675.0,1466.0,1466.0,106.0,169.0,413.0,413.0,165.0,265.0,595.0,595.0
